,BLNG
1109,2.950000047683716
1110,2.8399999141693115
1111,2.890000104904175
1112,2.869999885559082
1113,2.8299999237060547
1114,2.859999895095825
1115,2.880000114440918
1116,2.869999885559082
1117,2.880000114440918
1118,2.880000114440918
1119,2.869999885559082
1120,2.8499999046325684
1121,2.869999885559082
1122,2.890000104904175
1123,2.8499999046325684
1124,2.9000000953674316
1125,2.8499999046325684
1126,2.880000114440918
1127,2.8399999141693115
1128,2.869999885559082
1129,2.859999895095825
1130,2.8399999141693115
1131,2.859999895095825
1132,2.880000114440918
1133,2.930000066757202
1134,2.869999885559082
1135,2.8299999237060547
1136,2.869999885559082
1137,2.859999895095825
1138,2.8499999046325684
1139,2.859999895095825
1140,2.869999885559082
1141,2.859999895095825
1142,2.8399999141693115
1143,2.8299999237060547
1144,2.799999952316284
1145,2.799999952316284
1146,2.8299999237060547
1147,2.7699999809265137
1148,2.75
1149,2.7200000286102295
1150,2.819999933242798
1151,2.7699999809265137
1152,2.5999999046325684
1153,2.5799999237060547
1154,2.619999885559082
1155,2.5999999046325684
1156,2.619999885559082
1157,2.5999999046325684
1158,2.640000104904175
1159,2.630000114440918
1160,2.630000114440918
1161,2.630000114440918
1162,2.640000104904175
1163,2.6500000953674316
1164,2.6500000953674316
1165,2.630000114440918
1166,2.690000057220459
1167,2.75
1168,2.7200000286102295
1169,2.6600000858306885
1170,2.75
1171,2.740000009536743
1172,2.740000009536743
1173,2.7300000190734863
1174,2.7100000381469727
1175,2.7200000286102295
1176,2.740000009536743
1177,2.7100000381469727
1178,2.740000009536743
1179,2.690000057220459
1180,2.700000047683716
1181,2.7200000286102295
1182,2.7100000381469727
1183,2.700000047683716
1184,2.640000104904175
1185,2.690000057220459
1186,2.680000066757202
1187,2.680000066757202
1188,2.690000057220459
1189,2.700000047683716
1190,2.700000047683716
1191,2.700000047683716
1192,2.7200000286102295
1193,2.6600000858306885
1194,2.6500000953674316
1195,2.6700000762939453
1196,2.6500000953674316
1197,2.6700000762939453
1198,2.6600000858306885
1199,2.6600000858306885
1200,2.6600000858306885
1201,2.680000066757202
1202,2.6600000858306885
1203,2.6700000762939453
1204,2.6700000762939453
1205,2.7200000286102295
1206,2.7300000190734863
1207,2.950000047683716
1208,2.940000057220459
1209,2.950000047683716
1210,2.859999895095825
1211,2.799999952316284
1212,2.869999885559082
1213,2.819999933242798
1214,2.819999933242798
1215,2.8499999046325684
1216,2.8299999237060547
1217,2.859999895095825
1218,2.8399999141693115
1219,2.9100000858306885
1220,2.9600000381469727
1221,2.9600000381469727
1222,3.0999999046325684
1223,2.990000009536743
1224,2.9700000286102295
1225,2.9700000286102295
1226,2.930000066757202
1227,2.9200000762939453
1228,2.9200000762939453
1229,2.940000057220459
1230,2.880000114440918
1231,2.880000114440918
1232,2.880000114440918
1233,2.859999895095825
1234,2.8499999046325684
1235,2.8499999046325684
1236,2.819999933242798
1237,2.759999990463257
1238,2.75
1239,2.7200000286102295
1240,2.7300000190734863
1241,2.740000009536743
1242,2.7100000381469727
1243,2.7300000190734863
1244,2.7300000190734863
1245,2.7300000190734863
1246,2.740000009536743
1247,2.759999990463257
1248,2.7200000286102295
1249,2.7300000190734863
1250,2.7699999809265137
1251,2.759999990463257
1252,2.75
1253,2.740000009536743
1254,2.740000009536743
1255,2.7100000381469727
1256,2.7300000190734863
1257,2.7200000286102295
1258,2.7300000190734863
1259,2.690000057220459
1260,2.700000047683716
1261,2.7300000190734863
1262,2.740000009536743
1263,2.7200000286102295
1264,2.7300000190734863
1265,2.7799999713897705
1266,2.759999990463257
1267,2.7899999618530273
1268,2.799999952316284
1269,2.8399999141693115
1270,2.75
1271,2.7300000190734863
1272,2.75
1273,2.759999990463257
1274,2.7899999618530273
1275,2.7699999809265137
1276,2.7799999713897705
1277,2.75
1278,2.759999990463257
1279,2.75
1280,2.7100000381469727
1281,2.740000009536743
1282,2.7200000286102295
1283,2.7300000190734863
1284,2.7300000190734863
1285,2.740000009536743
1286,2.7300000190734863
1287,2.690000057220459
1288,2.680000066757202
1289,2.680000066757202
1290,2.619999885559082
1291,2.680000066757202
1292,2.6700000762939453
1293,2.6500000953674316
1294,2.680000066757202
1295,2.680000066757202
1296,2.6700000762939453
1297,2.6700000762939453
1298,2.680000066757202
1299,2.6700000762939453
1300,2.690000057220459
1301,2.6700000762939453
1302,2.700000047683716
1303,2.700000047683716
1304,2.674999952316284
1305,2.634999990463257
1306,2.700000047683716
1307,2.7300000190734863
1308,2.7049999237060547
1309,2.6649999618530273
1310,2.674999952316284
1311,2.680000066757202
1312,2.7100000381469727
1313,2.694999933242798
1314,2.7149999141693115
1315,2.734999895095825
1316,2.740000009536743
1317,2.734999895095825
1318,2.734999895095825
1319,2.7249999046325684
1320,2.734999895095825
1321,2.740000009536743
1322,2.7249999046325684
1323,2.7249999046325684
1324,2.7200000286102295
1325,2.7300000190734863
1326,2.7300000190734863
1327,2.740000009536743
1328,2.7300000190734863
1329,2.7300000190734863
1330,2.734999895095825
1331,2.7100000381469727
1332,2.7200000286102295
1333,2.7300000190734863
1334,2.7300000190734863
1335,2.740000009536743
1336,2.7149999141693115
1337,2.7300000190734863
1338,2.75
1339,2.734999895095825
